stem,dice_background,dice_srf,dice_irf,dice_elm,dice_ez
87_12,0.996434,,0.83522,0.0,0.437573
87_13,0.996831,,0.865065,0.0,0.370422
87_14,0.996485,,0.899222,0.0,0.529206
87_15,0.995628,,0.849421,0.0,0.475872
87_16,0.996804,,0.863469,0.0,0.558475
87_17,0.997043,,0.710227,0.0,0.595293
87_2,0.994637,,0.801686,0.083682,0.520652
87_3,0.996192,,0.899769,0.353982,0.420115
87_4,0.996109,,0.860294,0.0,0.450649
87_5,0.996343,,0.867786,0.0,0.501754
87_6,0.996292,,0.861606,0.0,0.51674
87_7,0.995461,,0.75,,0.505334
87_8,0.996086,,0.8125,,0.505062
87_9,0.996581,,0.794082,,0.590514
88_1,0.993557,0.732154,0.667074,0.354701,0.543454
88_10,0.990174,0.772727,0.796945,0.0,0.526761
88_11,0.989968,0.704348,0.760462,0.15739,0.591381
88_12,0.990662,0.745907,0.751702,0.0,0.448639
88_13,0.990392,0.0,0.808483,0.514178,0.532478
88_14,0.99216,0.65786,0.777728,0.0,0.569565
88_15,0.989858,0.620482,0.743319,0.372727,0.531524
88_16,0.988127,0.616103,0.746087,0.0,0.473066
88_17,0.989459,0.653125,0.739779,0.0,0.322769
88_18,0.988364,,0.701144,0.0,0.52205
88_19,0.988026,,0.727287,0.0,0.371467
88_2,0.993749,0.787653,0.846904,0.506522,0.477255
88_20,0.99213,0.62799,0.832034,0.0,0.530213
88_21,0.995014,0.766784,,0.394481,0.585573
88_3,0.993125,0.6392,0.814614,0.342593,0.485373
88_4,0.992081,0.722892,0.854304,0.376106,0.549171
88_5,0.992285,0.630542,0.872377,0.290625,0.48906
88_6,0.99207,0.739314,0.863611,0.0,0.497549
88_7,0.991668,0.760533,0.835206,0.0,0.388621
88_8,0.99033,0.668106,0.804696,0.0,0.510439
88_9,0.99146,0.781447,0.826168,0.0,0.49085
89_1,0.99519,0.740171,0.0,0.165079,0.204317
89_10,0.995678,0.779843,,0.194872,0.384146
89_11,0.993777,0.752302,,0.067114,0.147208
89_12,0.994494,0.752389,,0.115315,0.01373
89_13,0.99652,0.820112,,0.0,0.240166
89_14,0.995623,0.729155,,0.415663,0.27204
89_15,0.995239,0.799052,,0.134783,0.303951
89_16,0.994856,0.784743,,0.25522,0.145631
89_17,0.995398,0.787893,,0.0,0.382838
89_18,0.994834,0.781928,,0.0,0.215488
89_19,0.994969,0.771079,,0.0,0.0
89_2,0.997169,0.828131,,0.117647,0.470996
89_20,0.993928,0.683222,0.0,,0.0
89_3,0.99601,0.824706,,0.105042,0.304158
89_4,0.996246,0.77306,,0.480769,0.420601
89_5,0.995684,0.697061,,0.0,0.365269
89_6,0.995947,0.727368,,0.575453,0.364294
89_7,0.995891,0.758471,,0.283054,0.649664
89_8,0.996233,0.725149,0.0,0.479532,0.240909
89_9,0.995366,0.726789,,0.412879,0.279279
8_1,0.988916,,0.798579,0.578996,0.46875
8_10,0.989147,,0.843434,0.618775,0.724126
8_11,0.985806,,0.827256,0.0,0.457199
8_12,0.987415,,0.877531,0.683172,0.520157
8_13,0.986781,,0.892365,0.436561,0.565404
8_14,0.986379,,0.823176,0.0,0.650145
8_15,0.98675,,0.801823,0.76862,0.718778
8_16,0.987251,0.0,0.843121,0.55049,0.716233
8_17,0.98374,,0.810048,0.426793,0.447431
8_18,0.985203,,0.841519,0.465753,0.660102
8_19,0.987929,,0.869179,0.585438,0.720836
8_2,0.989965,,0.828921,0.680429,0.505531
8_20,0.985769,,0.863148,0.468563,0.667754
8_21,0.983542,,0.818709,0.608274,0.562522
8_22,0.982858,,0.82004,0.48483,0.608912
8_23,0.982957,,0.775994,0.472753,0.528257
8_24,0.986422,,0.790614,0.749004,0.584209
8_25,0.984823,,0.806036,0.477058,0.603493
8_26,0.987264,,0.738708,0.594719,0.620042
8_27,0.989158,,0.784106,0.677483,0.554217
8_28,0.989113,,0.796342,0.534961,0.611667
8_3,0.99072,,0.813963,0.488967,0.674
8_4,0.991375,,0.815699,0.657101,0.666892
8_5,0.990881,,0.855623,0.689112,0.545852
8_6,0.986371,,0.736465,0.427193,0.699934
8_7,0.986524,,0.829956,0.535655,0.483339
8_8,0.986647,,0.849235,0.577287,0.477913
8_9,0.986834,,0.833822,0.603899,0.494257
90_1,0.992464,,0.832599,0.559091,0.73878
90_10,0.992307,,0.837744,0.538892,0.408926
90_11,0.991098,,0.838099,0.437189,0.619537
90_12,0.989469,,0.769689,0.664808,0.4379
90_13,0.991599,,0.832881,0.57067,0.475297
90_14,0.991265,,0.791609,0.48006,0.510025
90_15,0.989865,,0.716978,0.607595,0.53632
90_16,0.99083,,0.778134,0.664369,0.531585
90_17,0.989674,,0.741842,0.573964,0.606843
90_18,0.992518,,0.628752,0.607768,0.686204
90_2,0.993424,,0.857373,0.720944,0.688727
90_3,0.992706,,0.834054,0.729879,0.711982
90_4,0.991865,,0.874316,0.59689,0.543933
90_5,0.990268,,0.825642,0.528721,0.372294
90_6,0.991578,,0.861322,0.548209,0.656977
90_7,0.992476,,0.874409,0.513455,0.597926
90_8,0.992903,,0.857224,0.693215,0.657734
90_9,0.991625,,0.860256,0.485696,0.605471
91_1,0.992245,0.783611,0.64155,0.0,0.37115
91_10,0.994509,0.839442,0.0,0.0,0.349049
91_11,0.992873,0.770244,0.596226,0.0,0.556075
91_12,0.99393,0.851649,0.645401,0.0,0.252167
91_13,0.994064,0.781979,0.33758,0.0,0.208935
91_2,0.991892,0.761096,0.593622,,0.367021
91_3,0.994243,0.866917,0.517766,0.0,0.272727
91_4,0.992601,0.79269,0.66459,0.0,0.429924
91_5,0.995486,0.919809,0.726184,,0.468284
91_6,0.992856,0.836598,0.531722,0.0,0.427663
91_7,0.992995,0.839584,0.616832,0.0,0.400694
91_8,0.990835,0.847699,0.581601,0.408257,0.366744
91_9,0.993258,0.844385,0.654206,0.205882,0.43436
92_1,0.985219,,0.574883,,
92_10,0.992394,,0.775484,,
92_11,0.993941,,0.836128,,
92_12,0.990878,,0.743341,,
92_13,0.994116,,0.815727,,
92_14,0.993839,,0.808103,,
92_15,0.994275,,0.832635,,
92_16,0.994123,,0.820558,,
92_17,0.992777,,0.766987,,
92_18,0.991724,,0.773255,,
92_19,0.991505,,0.792827,,
92_2,0.976436,0.0,0.460985,,
92_20,0.99336,,0.769687,,
92_3,0.979055,,0.455944,,
92_4,0.995142,,0.784638,,
92_5,0.9944,,0.805156,,
92_6,0.994235,,0.832964,,
92_7,0.993192,,0.804714,,
92_8,0.994367,,0.822541,,
92_9,0.99292,,0.818651,,
93_1,0.987222,0.866895,0.820753,0.0,0.42446
93_10,0.983601,0.872128,0.89348,0.0,0.532484
93_11,0.97974,0.871132,0.84407,0.0,0.48161
93_12,0.979745,0.88827,0.842404,,0.333709
93_13,0.977499,0.826161,0.81136,,0.588235
93_14,0.979118,0.823395,0.794055,,0.439412
93_15,0.976271,0.811288,0.78863,,0.43758
93_16,0.976506,0.866479,0.836207,0.0,0.492192
93_17,0.983238,0.885123,0.836816,0.0,0.396011
93_18,0.982183,0.857404,0.875943,,0.419267
